Age,AA,ABS,ARC,CC,LAB,NM,O,P,PDG,PRM,PROJ,PWR,U
18,64.73,60.33,73.34,58.08,58.25,59.46,79.09,62.50,58.86,73.78,73.50,59.63,60.38
19,62.54,60.42,74.33,58.85,,61.59,78.74,63.34,60.36,73.55,75.30,61.27,64.07
20,65.46,60.34,78.40,57.17,81.55,61.87,81.12,63.16,59.42,74.17,72.19,61.49,63.86
21,62.70,59.41,77.23,57.40,,61.54,71.26,62.67,58.44,73.95,73.73,59.02,57.72
22,63.57,59.65,70.08,59.05,81.55,60.77,74.99,62.53,58.71,74.46,75.86,58.71,62.50
23,,60.23,,72.96,,64.99,,63.58,59.09,,,67.48,
24,74.88,61.18,,,,,,69.11,56.69,,,56.69,
25,59.84,58.11,,57.73,,58.82,,58.92,59.23,,,58.54,58.82
26,57.86,60.54,63.12,58.25,,,,63.08,58.25,,,61.99,58.25
27,60.52,58.56,,58.90,,43.84,,64.74,60.32,72.52,72.58,61.86,57.57
28,60.66,55.38,,42.50,,26.39,62.04,61.66,44.21,,,44.21,
29,55.94,62.03,63.12,63.96,,51.36,,62.15,59.63,,71.28,58.49,
30,61.24,60.08,,58.89,,,,59.97,61.01,72.43,72.43,57.93,
31,58.25,62.28,,56.53,,55.07,,58.74,55.93,,,58.05,
32,57.86,58.22,,58.53,,58.82,,62.59,56.25,,73.30,58.18,
33,60.34,57.79,,53.95,,67.48,,59.80,56.75,,,64.72,60.58
34,62.54,62.36,,58.25,,,,66.62,58.25,,74.88,63.48,60.85
35,57.86,59.43,,57.68,,57.06,,58.44,57.73,,,58.40,
36,43.84,59.75,,63.76,,67.50,,60.56,61.84,,66.98,57.48,
37,58.83,60.76,,56.40,,,,63.24,57.62,72.43,73.90,58.34,
38,,58.34,,60.85,,,,61.27,59.06,,,62.28,
39,70.74,63.18,,57.39,,51.74,,59.35,56.53,72.43,72.43,58.81,
40,74.51,61.67,,61.36,,61.39,,66.82,57.36,73.44,82.77,62.57,56.69
41,61.40,62.07,,57.91,,58.25,,64.82,58.49,72.87,85.33,61.26,
42,59.57,56.58,,,,53.05,,63.55,63.22,,91.57,60.78,
43,61.41,61.78,80.83,58.75,,57.10,80.83,63.52,60.41,71.96,70.10,57.33,
44,62.75,57.82,,58.37,,66.59,,62.40,58.52,74.88,74.88,61.97,
45,72.98,61.06,87.20,58.62,,65.73,,64.21,59.28,87.20,73.01,66.49,60.58
46,58.71,58.97,,64.57,,58.82,,62.18,59.16,,77.42,62.31,
47,60.32,62.27,80.83,59.03,,59.21,80.83,64.37,60.02,,,65.13,
48,59.72,60.81,,59.80,,52.06,,61.30,59.08,72.87,67.50,60.38,
49,65.60,63.32,,61.43,,62.42,,66.78,62.22,74.88,80.98,64.70,
50,,59.09,,60.31,,58.76,,63.57,58.20,74.88,74.08,59.02,56.69
51,64.49,50.34,,52.83,,31.68,,65.53,58.69,,91.99,63.80,0.00
52,60.64,58.86,,60.47,,65.47,,61.62,60.64,74.55,74.68,61.33,58.25
53,61.26,61.02,,45.91,,54.00,,58.44,60.70,72.43,72.43,58.52,
54,66.13,59.41,87.20,48.77,,66.75,,62.89,55.80,83.26,82.28,63.37,58.25
55,60.14,60.13,,58.66,,54.01,,61.87,59.94,,,61.44,
56,70.54,61.90,,59.16,,,,60.39,59.03,72.43,72.43,60.44,
57,67.68,62.13,,59.48,,61.01,,64.06,60.86,,73.16,64.89,
58,60.37,60.66,,54.32,,50.68,,61.28,59.47,,65.92,59.81,
59,72.46,64.08,,61.00,,71.91,60.58,63.83,61.62,72.92,74.93,60.91,
60,70.83,60.57,80.83,60.02,,56.88,80.83,63.39,57.55,72.43,72.43,62.14,
61,65.18,61.75,75.23,58.62,,62.90,78.22,63.15,59.86,,80.83,57.69,
62,67.45,59.44,,57.31,,59.12,,60.27,60.21,72.43,72.43,58.95,
63,54.07,58.07,80.83,54.54,,41.44,80.83,60.78,55.20,72.43,75.23,57.82,60.58
64,67.20,57.04,,51.16,,61.10,,62.94,56.88,,77.39,65.03,56.69
65,58.15,59.99,,58.50,,58.25,,60.83,58.86,,65.92,59.62,
66,61.30,58.34,72.43,52.50,,68.21,,60.92,58.79,,65.92,58.89,68.36
67,61.99,60.58,80.83,61.06,,68.16,80.83,64.56,63.15,72.70,74.35,62.21,57.86
68,65.36,61.22,,55.20,,66.80,75.62,64.85,59.21,73.48,78.37,56.49,
69,61.81,58.97,80.83,59.65,81.55,56.37,81.19,63.86,59.21,81.55,76.21,64.23,60.58
